00 data
00 Data was recorded 60 times per second
00 Date and Time: 5/7/2019 3:45:09 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):214038.7  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):214048 force plate (fx, fy, fz, mx, my, mz):0.05512238,0.04110336,-0.1708984,-0.04797363,0.02346802,0.02613211
01 timestamp(ms):214067.7 force plate (fx, fy, fz, mx, my, mz):0.05512238,0.04110336,-0.1708984,-0.04797363,0.02346802,0.02613211
01 timestamp(ms):214088.2 force plate (fx, fy, fz, mx, my, mz):-0.2807255,0.03240013,-0.3579102,0.004516602,0.04064941,-0.06884527
01 timestamp(ms):214098.7 force plate (fx, fy, fz, mx, my, mz):-0.2774048,0.03415298,0.2026367,-0.04742432,-0.05841064,-0.06814337
01 timestamp(ms):214124.1 force plate (fx, fy, fz, mx, my, mz):0.3814163,0.03896332,0.01757813,0.004760742,-0.06060791,-0.06626272
01 timestamp(ms):214133.9 force plate (fx, fy, fz, mx, my, mz):0.05596161,0.03946686,0.015625,0.004272461,-0.0760498,0.02602243
01 timestamp(ms):214153.9 force plate (fx, fy, fz, mx, my, mz):0.0558548,0.04272079,0.01611328,-0.09979248,-0.009552002,0.02661753
01 timestamp(ms):214173.5 force plate (fx, fy, fz, mx, my, mz):0.05872154,0.04139519,0.2028809,-0.04827881,0.0239563,0.02618885
01 timestamp(ms):214183.9 force plate (fx, fy, fz, mx, my, mz):0.05770874,0.04124069,0.2026367,-0.0479126,-0.04257202,0.02634859
01 timestamp(ms):214203.5 force plate (fx, fy, fz, mx, my, mz):-0.2781372,0.03253555,0.015625,0.004394531,-0.02539063,-0.06862879
01 timestamp(ms):214223.2 force plate (fx, fy, fz, mx, my, mz):-0.2781372,0.03253555,0.015625,0.004394531,-0.02539063,-0.06862879
01 timestamp(ms):214233.9 force plate (fx, fy, fz, mx, my, mz):0.05697632,0.03962326,0.015625,0.00390625,-0.009552002,0.02586317
01 timestamp(ms):214253.7 force plate (fx, fy, fz, mx, my, mz):0.06298828,0.0362854,0.2055664,0.05700684,-0.04229736,-0.05900335
01 timestamp(ms):214269.8 force plate (fx, fy, fz, mx, my, mz):0.3814163,0.03896332,0.01757813,0.004760742,-0.06060791,-0.06626272
01 timestamp(ms):214289.5 force plate (fx, fy, fz, mx, my, mz):0.06058502,-0.2051353,0.2036133,-0.03668213,-0.04241943,-0.01532888
01 timestamp(ms):214299.7 force plate (fx, fy, fz, mx, my, mz):-0.279995,0.03401566,-0.1708984,-0.04736328,0.007629395,-0.06835985
01 timestamp(ms):214319.5 force plate (fx, fy, fz, mx, my, mz):-0.2759914,-0.215456,-0.1704102,0.06750488,0.007781982,-0.1107917
01 timestamp(ms):214339.4 force plate (fx, fy, fz, mx, my, mz):-0.2753754,0.2750702,-0.1704102,0.04559326,-0.05874634,-0.1119542
01 timestamp(ms):214349.3 force plate (fx, fy, fz, mx, my, mz):-0.2657166,0.2826691,-0.1723633,0.0446167,-0.05834961,0.074821
01 timestamp(ms):214369.1 force plate (fx, fy, fz, mx, my, mz):0.06149673,0.03887939,-0.1689453,-0.04724121,-0.04275513,-0.05838537
01 timestamp(ms):214388.9 force plate (fx, fy, fz, mx, my, mz):0.3835602,-0.2090302,-0.168457,0.06781006,-0.02740479,-0.1084256
01 timestamp(ms):214399.2 force plate (fx, fy, fz, mx, my, mz):0.05596161,0.03946686,0.015625,0.004272461,-0.0760498,0.02602243
01 timestamp(ms):214424.7 force plate (fx, fy, fz, mx, my, mz):0.05697632,0.03962326,0.015625,0.00390625,-0.009552002,0.02586317
01 timestamp(ms):214436.5 force plate (fx, fy, fz, mx, my, mz):-0.2788677,0.03092003,-0.1713867,0.05627441,0.007629395,-0.06911421
01 timestamp(ms):214456.4 force plate (fx, fy, fz, mx, my, mz):0.05697632,0.03962326,0.015625,0.00390625,-0.009552002,0.02586317
01 timestamp(ms):214466.2 force plate (fx, fy, fz, mx, my, mz):0.05475616,0.03998947,0.01708984,0.004516602,0.0569458,0.02578306
01 timestamp(ms):214485.9 force plate (fx, fy, fz, mx, my, mz):-0.279995,0.03401566,-0.1708984,-0.04736328,0.007629395,-0.06835985
01 timestamp(ms):214505.7 force plate (fx, fy, fz, mx, my, mz):0.06076241,0.2823162,-0.1704102,0.0447998,0.02359009,-0.01762152
01 timestamp(ms):214516 force plate (fx, fy, fz, mx, my, mz):0.3820648,0.03800583,0.2055664,0.05688477,0.03936768,-0.06677103
01 timestamp(ms):214535.8 force plate (fx, fy, fz, mx, my, mz):0.05697632,0.03962326,0.015625,0.00390625,-0.009552002,0.02586317
01 timestamp(ms):214555.8 force plate (fx, fy, fz, mx, my, mz):0.3940258,0.290884,-0.355957,-0.007568359,0.07247925,0.07713747
01 timestamp(ms):214566.4 force plate (fx, fy, fz, mx, my, mz):0.05963516,0.2854118,-0.1708984,-0.05895996,0.02359009,-0.01686716
01 timestamp(ms):214583 force plate (fx, fy, fz, mx, my, mz):0.3820648,0.03800583,0.2055664,0.05688477,0.03936768,-0.06677103
01 timestamp(ms):214609.7 force plate (fx, fy, fz, mx, my, mz):0.0643692,0.03755569,0.01757813,0.004150391,-0.009277344,-0.05881357
01 timestamp(ms):214620.3 force plate (fx, fy, fz, mx, my, mz):0.06058502,-0.2051353,0.2036133,-0.03668213,-0.04241943,-0.01532888
01 timestamp(ms):214641.1 force plate (fx, fy, fz, mx, my, mz):-0.2781372,0.03253555,0.015625,0.004394531,-0.02539063,-0.06862879
01 timestamp(ms):214651 force plate (fx, fy, fz, mx, my, mz):-0.2798843,0.03076172,-0.1713867,0.05657959,-0.05886841,-0.06895494
01 timestamp(ms):214670.7 force plate (fx, fy, fz, mx, my, mz):0.3817062,-0.2075577,-0.355957,0.01593018,0.005615234,-0.1081567
01 timestamp(ms):214691.1 force plate (fx, fy, fz, mx, my, mz):0.06058502,-0.2051353,0.2036133,-0.03668213,-0.04241943,-0.01532888
01 timestamp(ms):214701.9 force plate (fx, fy, fz, mx, my, mz):0.3860397,-0.2056389,0.2055664,-0.03619385,-0.02694702,-0.107614
01 timestamp(ms):214722.6 force plate (fx, fy, fz, mx, my, mz):0.05650139,0.0417614,0.2043457,-0.04766846,0.0904541,0.02610874
01 timestamp(ms):214738.4 force plate (fx, fy, fz, mx, my, mz):0.05512238,0.04110336,-0.1708984,-0.04797363,0.02346802,0.02613211
01 timestamp(ms):214748.7 force plate (fx, fy, fz, mx, my, mz):0.05134201,-0.20158,0.01611328,-0.08880615,-0.009674072,0.06961679
01 timestamp(ms):214769 force plate (fx, fy, fz, mx, my, mz):0.06551361,0.05031967,0.01416016,-0.100647,-0.009124756,0.2133927
01 timestamp(ms):214789.4 force plate (fx, fy, fz, mx, my, mz):0.0558548,0.04272079,0.01611328,-0.09979248,-0.009552002,0.02661753
01 timestamp(ms):214800.1 force plate (fx, fy, fz, mx, my, mz):0.05770874,0.04124069,0.2026367,-0.0479126,-0.04257202,0.02634859
01 timestamp(ms):214820.7 force plate (fx, fy, fz, mx, my, mz):-0.2727833,-0.2104511,0.3908691,-0.08837891,-0.02474976,-0.1094952
01 timestamp(ms):214842 force plate (fx, fy, fz, mx, my, mz):0.05799866,-0.2052727,-0.1708984,-0.03662109,0.02362061,-0.01554537
01 timestamp(ms):214852.4 force plate (fx, fy, fz, mx, my, mz):-0.2753735,-0.2105885,0.01635742,-0.08831787,0.04129028,-0.1097116
01 timestamp(ms):214873.3 force plate (fx, fy, fz, mx, my, mz):-0.2774048,0.03415298,0.2026367,-0.04742432,-0.05841064,-0.06814337
01 timestamp(ms):214889.5 force plate (fx, fy, fz, mx, my, mz):-0.6047249,0.03613663,0.01416016,-0.09967041,-0.04083252,0.02440882
01 timestamp(ms):214899.9 force plate (fx, fy, fz, mx, my, mz):-0.602581,-0.2118568,-0.1728516,-0.03662109,-0.007659912,-0.01775408
01 timestamp(ms):214919.6 force plate (fx, fy, fz, mx, my, mz):-0.27034,0.04161453,-0.1728516,-0.04833984,0.008026123,0.1184154
01 timestamp(ms):214939.1 force plate (fx, fy, fz, mx, my, mz):0.05475616,0.03998947,0.01708984,0.004516602,0.0569458,0.02578306
01 timestamp(ms):214949 force plate (fx, fy, fz, mx, my, mz):0.05475616,0.03998947,0.01708984,0.004516602,0.0569458,0.02578306
01 timestamp(ms):214968.2 force plate (fx, fy, fz, mx, my, mz):0.05475616,0.03998947,0.01708984,0.004516602,0.0569458,0.02578306
01 timestamp(ms):214988 force plate (fx, fy, fz, mx, my, mz):0.05475616,0.03998947,0.01708984,0.004516602,0.0569458,0.02578306
01 timestamp(ms):215007.6 force plate (fx, fy, fz, mx, my, mz):-0.2774849,-0.2134743,0.01708984,0.01635742,0.04125977,-0.1103864
01 timestamp(ms):215017.7 force plate (fx, fy, fz, mx, my, mz):-0.5962143,0.03097916,0.015625,0.004272461,-0.04055786,-0.06102228
01 timestamp(ms):215043.4 force plate (fx, fy, fz, mx, my, mz):-0.272995,-0.2041664,0.01367188,0.0144043,-0.02511597,0.1611457
01 timestamp(ms):215055.6 force plate (fx, fy, fz, mx, my, mz):0.05534363,-0.4510536,0.01660156,0.02612305,-0.009521484,0.02718496
01 timestamp(ms):215065.4 force plate (fx, fy, fz, mx, my, mz):-0.2756271,-0.2149544,0.2045898,0.06811523,0.008239746,-0.1106553
01 timestamp(ms):215085.3 force plate (fx, fy, fz, mx, my, mz):-0.2756271,-0.2149544,0.2045898,0.06811523,0.008239746,-0.1106553
01 timestamp(ms):215105.3 force plate (fx, fy, fz, mx, my, mz):-0.2770081,-0.2156143,-0.1704102,0.06781006,-0.05871582,-0.1106324
01 timestamp(ms):215115.6 force plate (fx, fy, fz, mx, my, mz):-0.2774849,-0.2134743,0.01708984,0.01635742,0.04125977,-0.1103864
01 timestamp(ms):215135.2 force plate (fx, fy, fz, mx, my, mz):-0.2758484,0.2772102,0.01708984,-0.005859375,0.04122925,-0.1117082
01 timestamp(ms):215154.8 force plate (fx, fy, fz, mx, my, mz):0.3824387,-0.2059402,-0.1689453,-0.03588867,-0.02740479,-0.1076713
01 timestamp(ms):215164.9 force plate (fx, fy, fz, mx, my, mz):0.3806839,0.03734589,-0.1694336,0.05657959,-0.02758789,-0.06674814
01 timestamp(ms):215184.9 force plate (fx, fy, fz, mx, my, mz):0.05697632,0.03962326,0.015625,0.00390625,-0.009552002,0.02586317
01 timestamp(ms):215200.7 force plate (fx, fy, fz, mx, my, mz):0.05948639,-0.2078667,0.2045898,0.06762695,0.02407837,-0.01616335
01 timestamp(ms):215220.2 force plate (fx, fy, fz, mx, my, mz):-0.2648773,-0.2046242,0.2016602,-0.03717041,-0.05786133,0.07695436
01 timestamp(ms):215239.7 force plate (fx, fy, fz, mx, my, mz):-0.2636032,0.2849464,0.3896484,-0.006896973,-0.02441406,0.07528353
01 timestamp(ms):215249.7 force plate (fx, fy, fz, mx, my, mz):-0.5980682,0.03245163,-0.1708984,-0.04760742,-0.007537842,-0.06075335
